Victim's name,Date of Incident (month/day/year),Official disposition of death (justified or other),Criminal Charges?,
Phet Gouvonvong,4/21/21,Pending investigation,No known charges,
Andrew Brown,4/21/21,Pending investigation,No known charges,
Name withheld by police,4/21/21,Pending investigation,No known charges,
Ma'Khia Bryant,4/20/21,Pending investigation,No known charges,
Doward Sylleen Baker,4/19/21,Pending investigation,No known charges,
Name withheld by police,4/19/21,Pending investigation,No known charges,
Antonio Cantu,4/19/21,Pending investigation,No known charges,
Edgar Luis Tirado,4/19/21,Pending investigation,No known charges,
Name withheld by police,4/18/21,Pending investigation,No known charges,
Name withheld by police,4/18/21,Pending investigation,No known charges,
Name withheld by police,4/18/21,Pending investigation,No known charges,
Bradley Michael Olsen,4/18/21,Pending investigation,No known charges,
Larry Jenkins,4/17/21,Pending investigation,No known charges,
Smoky Lynn Crockett,4/17/21,Pending investigation,No known charges,
Name withheld by police,4/17/21,Pending investigation,No known charges,
Matthew Harry,4/17/21,Pending investigation,No known charges,
Robert Douglas Delgado,4/16/21,Pending investigation,No known charges,
Alex Garcia,4/15/21,Pending investigation,No known charges,
Jacob Wood,4/14/21,Pending investigation,No known charges,
Marcelo Garcia,4/14/21,Pending investigation,No known charges,
Lindani Myeni,4/13/21,Pending investigation,No known charges,
Peyton Ham,4/13/21,Pending investigation,No known charges,
Christopher Templo Marquez,4/13/21,Pending investigation,No known charges,
Anthony Thompson Jr.,4/12/21,Pending investigation,No known charges,
Pier Alexander Shelton,4/12/21,Pending investigation,No known charges,
Matthew Zadok Williams,4/12/21,Pending investigation,No known charges,
Miles Jackson,4/12/21,Pending investigation,No known charges,
Daunte Wright,4/11/21,Charged with a manslaughter,Charged with a crime,
Name withheld by police,4/10/21,Pending investigation,No known charges,
Faustin Guetigo,4/10/21,Pending investigation,No known charges,
Joshua Mitchell,4/10/21,Pending investigation,No known charges,
Rescue Eram,4/10/21,Pending investigation,No known charges,
Joshua Michael Johnson,4/10/21,Pending investigation,No known charges,
Douglas Barton,4/9/21,Pending investigation,No known charges,
DeShund Tanner,4/9/21,Pending investigation,No known charges,
Name withheld by police,4/9/21,Pending investigation,No known charges,
David William Determan,4/9/21,Pending investigation,No known charges,
Paige Pierce Schmidt,4/9/21,Pending investigation,No known charges,
Name withheld by police,4/8/21,Pending investigation,No known charges,
Dominique Williams,4/7/21,Charged with murder,Charged with a crime,
James Alexander,4/7/21,Pending investigation,No known charges,
James Lionel Johnson,4/7/21,Charged with murder,Charged with a crime,
